time,bit_size,delta_scale,delta_location,function,round,entropy,min_entropy,kl_divergence,statistical_distance
64484.38s,32,444592,-2986,rot_13,6,15.999999,16,0,0.0000000004656613
64732.97s,32,444592,-2986,rot_9,8,15.999999,16,0,0.0000000004656613
65018.95s,32,444592,-2986,rot_10,1,6.407681,4.4212637,9.209401,0.46799088
65150.22s,32,444592,-2986,rot_24,4,15.999999,16,0,0.00000000023283064
65566.42s,32,444592,-2986,rot_13,7,15.999999,16,0,0.0000000004656613
66006.95s,32,444592,-2986,rot_10,2,15.080898,13.541279,0.0625,0.015625
66139.85s,32,444592,-2986,rot_24,5,15.999999,16,0,0.0000000004656613
66645.96s,32,444592,-2986,rot_13,8,15.999999,16,0,0.0000000004656613
66935.19s,32,444592,-2986,rot_14,1,6.407681,4.4212637,9.209401,0.46799088
67012.23s,32,444592,-2986,rot_10,3,16,16,0,0
67126.70s,32,444592,-2986,rot_24,6,15.999999,16,0,0.0000000004656613
67958.55s,32,444592,-2986,rot_14,2,16.000824,15.987475,0.000030517578,0.000030517578
67998.07s,32,444592,-2986,rot_10,4,15.999999,16,0,0.00000000011641532
68101.43s,32,444592,-2986,rot_24,7,15.999999,16,0,0.0000000004656613
68992.02s,32,444592,-2986,rot_14,3,16,16,0,0
69000.27s,32,444592,-2986,rot_10,5,15.999999,16,0,0.0000000004656613
69069.11s,32,444592,-2986,rot_24,8,15.999999,16,0,0.0000000004656613
69361.32s,32,444592,-2986,rot_11,1,6.407681,4.4212637,9.209401,0.46799088
70013.64s,32,444592,-2986,rot_14,4,15.999999,16,0,0.00000000011641532
70017.24s,32,444592,-2986,rot_10,6,15.999999,16,0,0.0000000004656613
70416.41s,32,444592,-2986,rot_11,2,15.597925,14.527052,0.03125,0.00390625
71020.32s,32,444592,-2986,rot_10,7,15.999999,16,0,0.0000000004656613
71040.52s,32,444592,-2986,rot_14,5,15.999999,16,0,0.0000000004656613
71471.67s,32,444592,-2986,rot_11,3,16,16,0,0
72035.22s,32,444592,-2986,rot_10,8,15.999999,16,0,0.0000000004656613
72066.12s,32,444592,-2986,rot_14,6,15.999999,16,0,0.0000000004656613
72342.98s,32,444592,-2986,rot_12,1,6.407681,4.4212637,9.209401,0.46799088
72533.50s,32,444592,-2986,rot_11,4,15.999999,16,0,0.00000000011641532
