function,gamma,x0,delay,pools,round,test,score,passed
rot2,444592,-2986,572059897,400000,2,Longest Run Ones In A Block,1.6115790099730874e-62,False
rot2,444592,-2986,572059897,400000,2,Discrete Fourier Transform,0.0,False
rot2,444592,-2986,572059897,400000,2,Cumulative Sums,0.0,False
rot2,444592,-2986,572059897,400000,2,Random Excursion Variant,0.794015433897132,True
rot2,444592,-2986,572059897,400000,3,Monobit,0.0,False
rot2,444592,-2986,572059897,400000,3,Frequency Within Block,0.0,False
rot2,444592,-2986,572059897,400000,3,Runs,4.680600502473165e-186,False
rot2,444592,-2986,572059897,400000,3,Longest Run Ones In A Block,0.0012659272854915798,False
rot2,444592,-2986,572059897,400000,3,Discrete Fourier Transform,4.213316078658062e-99,False
rot2,444592,-2986,572059897,400000,3,Cumulative Sums,0.0,False
rot2,444592,-2986,572059897,400000,3,Random Excursion Variant,0.45865440519164086,False
rot2,444592,-2986,572059897,400000,4,Monobit,0.0,False
rot2,444592,-2986,572059897,400000,4,Frequency Within Block,0.0,False
rot2,444592,-2986,572059897,400000,4,Runs,3.369885449168414e-287,False
rot2,444592,-2986,572059897,400000,4,Longest Run Ones In A Block,6.213821744332054e-06,False
rot2,444592,-2986,572059897,400000,4,Discrete Fourier Transform,1.5005217933951585e-74,False
rot2,444592,-2986,572059897,400000,4,Cumulative Sums,0.0,False
rot2,444592,-2986,572059897,400000,4,Random Excursion Variant,0.36209809018236705,False
rot2,444592,-2986,572059897,400000,5,Monobit,0.00012449951079361943,False
rot2,444592,-2986,572059897,400000,5,Frequency Within Block,0.2239407752495592,True
rot2,444592,-2986,572059897,400000,5,Runs,4.665252955465849e-15,False
rot2,444592,-2986,572059897,400000,5,Longest Run Ones In A Block,0.5938752146426203,True
rot2,444592,-2986,572059897,400000,5,Discrete Fourier Transform,0.004780851001183852,False
rot2,444592,-2986,572059897,400000,5,Cumulative Sums,0.00019471094497724994,False
rot2,444592,-2986,572059897,400000,5,Random Excursion Variant,0.21047037973925892,False
rot2,444592,-2986,572059897,400000,6,Monobit,0.15144742203990158,True
rot2,444592,-2986,572059897,400000,6,Frequency Within Block,0.5668176606461494,True
rot2,444592,-2986,572059897,400000,6,Runs,0.886179102787539,True
rot2,444592,-2986,572059897,400000,6,Longest Run Ones In A Block,0.9088150856615336,True
rot2,444592,-2986,572059897,400000,6,Discrete Fourier Transform,0.14800072598477282,True
rot2,444592,-2986,572059897,400000,6,Cumulative Sums,0.1478731315635191,True
rot2,444592,-2986,572059897,400000,6,Random Excursion Variant,0.965380353020374,True
rot2,444592,-2986,572059897,400000,7,Monobit,0.29482392961855375,True
rot2,444592,-2986,572059897,400000,7,Frequency Within Block,0.6754737669818842,True
rot2,444592,-2986,572059897,400000,7,Runs,0.7452995446095819,True
rot2,444592,-2986,572059897,400000,7,Longest Run Ones In A Block,0.6157650077957304,True
rot2,444592,-2986,572059897,400000,7,Discrete Fourier Transform,0.39731171496653994,True
rot2,444592,-2986,572059897,400000,7,Cumulative Sums,0.3335787211699065,True
rot2,444592,-2986,572059897,400000,7,Random Excursion Variant,0.5254877694782698,False
rot3,444592,-2986,572059897,400000,0,Monobit,0.0,False
rot3,444592,-2986,572059897,400000,0,Frequency Within Block,0.0,False
rot3,444592,-2986,572059897,400000,0,Runs,1.5369053182004557e-06,False
rot3,444592,-2986,572059897,400000,0,Longest Run Ones In A Block,0.0035792363420553133,False
rot3,444592,-2986,572059897,400000,0,Discrete Fourier Transform,0.0,False
rot3,444592,-2986,572059897,400000,0,Cumulative Sums,0.0,False
rot3,444592,-2986,572059897,400000,0,Random Excursion Variant,0.5401021148278731,False
rot3,444592,-2986,572059897,400000,1,Monobit,0.0,False
