function,gamma,x0,delay,round,test,score,passed
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,4,Longest Run Ones In A Block,0.3723477794136174,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,4,Non Overlapping Template Matching,0.9999999999996062,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,4,Random Excursion,0.7549490872383465,False
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,5,Monobit,0.1236496085850982,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,5,Frequency Within Block,0.4310652360877756,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,5,Runs,0.22049978045199423,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,5,Longest Run Ones In A Block,0.388631319618892,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,5,Non Overlapping Template Matching,0.999999999999994,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,5,Random Excursion,0.9567841996075861,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,6,Monobit,0.217099889914389,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,6,Frequency Within Block,0.9028538555924661,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,6,Runs,0.352540859188786,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,6,Longest Run Ones In A Block,0.9560363398172126,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,6,Non Overlapping Template Matching,0.9999999999999999,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,6,Random Excursion,0.7549490872383465,False
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,7,Monobit,0.4810623164895292,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,7,Frequency Within Block,0.0721360611914866,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,7,Runs,0.28042162334848003,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,7,Longest Run Ones In A Block,0.2100673496850934,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,7,Non Overlapping Template Matching,0.9999999999999998,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,7,Random Excursion,0.630213022379425,False
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,8,Monobit,0.6296302487682579,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,8,Frequency Within Block,0.25565927002353256,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,8,Runs,0.06636022120046964,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,8,Longest Run Ones In A Block,0.12058534295732877,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,8,Non Overlapping Template Matching,0.9999999999998916,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,8,Random Excursion,0.878695388450189,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,9,Monobit,0.42689145409565726,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,9,Frequency Within Block,0.42723581047457954,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,9,Runs,0.16311268057438444,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,9,Longest Run Ones In A Block,0.2675634662452058,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,9,Non Overlapping Template Matching,0.9999999999999993,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,9,Random Excursion,0.630213022379425,False
rot1,65175.07807956198,4611.669236635729,27396794.545091677,0,Monobit,0.0,False
rot1,65175.07807956198,4611.669236635729,27396794.545091677,0,Frequency Within Block,0.0,False
rot1,65175.07807956198,4611.669236635729,27396794.545091677,0,Runs,5.074365360203326e-61,False
rot1,65175.07807956198,4611.669236635729,27396794.545091677,0,Longest Run Ones In A Block,0.5844268150475198,True
rot1,65175.07807956198,4611.669236635729,27396794.545091677,0,Non Overlapping Template Matching,0.8915415456520958,True
rot1,65175.07807956198,4611.669236635729,27396794.545091677,0,Random Excursion,0.878695388450189,True
rot1,65175.07807956198,4611.669236635729,27396794.545091677,1,Monobit,0.0,False
rot1,65175.07807956198,4611.669236635729,27396794.545091677,1,Frequency Within Block,0.0,False
rot1,65175.07807956198,4611.669236635729,27396794.545091677,1,Runs,4.22494541390418e-223,False
rot1,65175.07807956198,4611.669236635729,27396794.545091677,1,Longest Run Ones In A Block,6.362073303954489e-49,False
rot1,65175.07807956198,4611.669236635729,27396794.545091677,1,Non Overlapping Template Matching,0.9999035296926871,True
rot1,65175.07807956198,4611.669236635729,27396794.545091677,1,Random Excursion,0.9709603488313201,True
rot1,65175.07807956198,4611.669236635729,27396794.545091677,2,Monobit,0.0,False
rot1,65175.07807956198,4611.669236635729,27396794.545091677,2,Frequency Within Block,0.0,False
rot1,65175.07807956198,4611.669236635729,27396794.545091677,2,Runs,4.024300292429815e-20,False
rot1,65175.07807956198,4611.669236635729,27396794.545091677,2,Longest Run Ones In A Block,0.04530856250734845,True
rot1,65175.07807956198,4611.669236635729,27396794.545091677,2,Non Overlapping Template Matching,0.9999999999999906,True
rot1,65175.07807956198,4611.669236635729,27396794.545091677,2,Random Excursion,0.9709603488313201,True
rot1,65175.07807956198,4611.669236635729,27396794.545091677,3,Monobit,5.373203466184139e-193,False
